subject,alphas,beta_mb,beta_mf0,beta_mf1,beta_stick,beta_s2
3FIJLY1B6U4QCB02JSANQT77LH4PFY,0.386763,1.20973,0.294506,0.134611,0.025148,2.09224
38F5OAUN5NCLK1N8IW46TSSZ04I7HH,0.389333,0.258892,0.309107,-0.121416,0.93213,0.620987
3JNQLM5FT4MGKW9S3529PT4Y78O2LT,0.200717,0.227971,0.157817,0.350684,-0.390447,0.971661
3X31TUMD7XM9VBRWK12VKAUTFGXL1A,0.203776,0.979457,-0.129272,0.353572,0.203525,1.41462
39GXDJN2OTEU2GNBXQDGMTF3J3MV85,0.228067,0.30994,0.0640984,0.748227,0.10324,1.67891
3VAR3R6G1P1ZCWEEWER2R1LVORIO8O,0.261731,0.296011,-0.0757559,1.02433,-0.114115,1.04719
32SVAV9L3F9O9VE7AEROZPTFJ5U3AI,0.22051,0.164616,0.269027,0.275541,-0.511734,1.81791
3GFK2QRXX9HOUN4EP2B9WBOQPKPW5D,0.281291,0.198512,0.0237957,0.594345,-0.385714,0.975458
37U1UTWH9VM2996UO686LWQ0ZVDR89,0.599307,0.485645,0.10476,0.500248,-0.717723,1.32558
351SEKWQS0HNTOPT06N5LPAR4IRDMV,0.403953,0.37634,0.178295,0.857571,-0.209957,1.97184
34T446B1C0EGLIC8B55W3MLWFY80C2,0.411691,0.786803,0.159765,0.244382,1.53809,1.00352
378XPAWRUCD3ZYWQVHYB3VV42NJAIH,0.210345,0.567872,-0.0901319,0.367856,-0.30581,1.46176
3A7Y0R2P2OOBQMOPO9BPZ4L2GNCXJF,0.411829,1.4346,0.0348203,0.814478,-0.665221,2.76653
33LK57MYLT5TUK7UCL8OOQS0J8USZX,0.460514,0.329911,0.498719,-0.0713046,0.0140789,1.84472
3RJSC4XJ10UVMX3TWVIOPGFMNH405C,0.101777,0.388322,0.117614,0.223569,-0.64033,0.958334
3AMW0RGHOD2203DJHGT0YYGGNRTNP8,0.155974,0.174407,-0.037652,0.0718437,0.09147,1.08129
3T111IHZ5EQ2NEP4TYEKLSLBI4E9R4,0.365943,0.469645,-0.188703,0.914171,0.0970702,1.41544
3VE8AYVF8MX56J1LXB8C47CHW7N8FG,0.439803,-0.115383,0.252724,0.498817,-0.281184,1.29854
3RJSC4XJ10UVMX3TWVIOPGFMOF250C,0.150747,0.630202,-0.00187602,0.5325,1.09427,1.55873
3NPFYT4IZC41ZKYOG3QM2RTMNXPXG8,0.20069,0.515005,-0.0248566,0.154361,-0.397329,0.862563
39GAF6DQWR0CRG3QY5417JSV6EQV1U,0.567944,0.444949,0.15086,1.12747,-0.167839,1.63899
3ATPCQ38J8APPYBVZZKEPJPSSPMYAI,0.236129,0.0821722,0.209474,0.855082,0.523181,1.80349
3YZ8UPK3VTMW14OO9CJGST93WLVUCF,0.0762975,0.449534,0.244544,0.688,0.0916622,1.61432
3KRVW3HTZNLTVD8BXWIUGOWR52JSMK,0.39668,0.809481,-0.174164,0.999636,-0.277462,2.39192
3E13VNJ1NNV75AJQZY5ISU21YTM1IT,0.472775,0.462973,0.138215,0.415509,0.656869,1.73512
3NOKK93PR18U96BGF3A6EZN3V9AEE7,0.275965,0.528585,0.528356,0.613779,-0.619596,1.6082
3TVSS0C0E10QFPF4QYT7ZRU45S5TW5,0.451914,0.44738,0.0414292,0.45752,0.588104,1.38102
3634BBTX0OUYVPDY6XK3HW6VZNKFIR,0.327936,0.173471,0.236383,0.534878,-0.76396,0.704333
3YOH7BII097EXHPC6FAJCYOUFK7VKE,0.293525,1.42252,-0.0687737,0.266838,-0.137481,2.08549
3NGI5ARFTT5ZMW6UCTV21R3DK72P1E,0.0557617,-0.316764,0.0468831,-0.0167219,0.0235839,0.768123
31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,0.518486,0.988839,0.132133,0.495585,-0.0408221,1.77843
