subject,alphas,beta_mb,beta_mf0,beta_mf1,beta_stick,beta_s2
3SB5N7Y3O34T2USDDR1FTD6BEOR0G0,0.162855,0.0513948,-0.00262099,-0.0794172,-0.228889,1.18417
3M1CVSFP605GGWK98P3KCXMQTX3AQN,0.319719,1.15184,0.201721,0.272739,0.606305,1.78427
3JZQSN0I3QAKZY73G9K0WKTFJMZGFU,0.221969,1.60874,0.144586,0.646198,0.481591,2.816
3SNLUL3WO4NP48IUMPCFVCZQQ0PLUE,0.4699,1.49337,0.152222,0.404439,-0.367133,2.4172
3E47SOBEYQWRSDTOFVU29QLS1S8ICY,0.485596,0.601338,0.552205,0.28301,-0.285574,1.71349
3FE2ERCCZX8KIODVIVTDDNGLDIFPO4,0.371139,0.228769,0.076434,1.212,-1.19343,1.2101
3TE3O857308RNU458PZ5B5DXCXCR20,0.615907,1.12237,0.0322047,0.714586,-0.278809,1.82314
30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,0.546516,0.154861,0.462563,-0.0315438,-0.00161566,1.69779
30OG32W0SUBY3COT82DP4MHC91HEN2,0.348261,1.27142,0.292351,0.621246,-0.93201,2.45283
3YW4XOSQKQLCE1EQTFUWBXQCSO91U1,0.432901,0.693658,0.520017,0.798857,0.109437,2.19086
3S4AW7T80BIQNAOF7JLXI81WRHP4LM,0.137548,0.582755,0.0085537,0.150994,-0.77471,1.30634
3AAJC4I4FGS0VHO4PRZAWP1DNPNJZE,0.18568,0.529049,0.299585,0.585914,-0.15281,1.89657
3HOSI13XHZOKPUJGNDO22ZNXVL2DDE,0.531947,0.801906,0.29714,1.14701,-0.362644,2.51491
3DZQRBDBSLFS9R01REDFKPNL5B83SL,0.0826996,0.251755,-0.0355823,0.501572,1.26475,0.669772
31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,0.377686,0.507,0.19687,0.403053,-0.666735,1.41712
39K0FND3AHFPVHMHGWW3VO2LJXJMAR,0.35045,0.454929,-0.162251,0.759132,-0.0444773,1.75282
3TPWUS5F8919T8DT4CYHAHU0G3YCWR,0.347895,0.575578,0.126716,0.859735,0.312638,1.31879
3PQ8K71NHXKOTGDSJT6YMX7LPFHAAG,0.206876,0.707404,0.0811865,0.262726,-0.375482,1.76943
3VW6495TLJ0QLG9YF5YUS57ZVXMYYN,0.0540359,-0.512091,-0.0068497,0.843127,0.228672,0.36456
3X31TUMD7XM9VBRWK12VKAUTEZU1LO,0.00912021,0.0595987,-0.0103971,0.213023,-0.373614,0.287975
3OXV7EAXLEQNMT24K1ACJKRTNRZ630,0.212664,1.07658,0.0810733,0.143551,-0.00406561,1.90411
3LRKMWOKB5H0PLQWI6TIX8FWMV92ZH,0.349056,0.94239,0.411897,0.570875,-0.0870575,1.95592
3X4JMASXCM9XBDK2X591S2FEYBU0BE,0.460593,2.36871,-0.119126,0.204201,0.00651121,2.96507
34FNN24DCM9SJSZE43TXH8960SI5YE,0.73769,0.961264,0.341132,-0.158609,-0.71591,0.52564
3DZQRBDBSLFS9R01REDFKPNL4DN3S3,0.337188,1.74905,0.229386,0.438492,-0.317883,1.65213
3LPW2N6LKT2B2JF9U2W8EN3T36KU5L,0.221126,0.352839,0.547889,0.311405,0.423385,1.16432
3WETL7AQWT8R3P2QFI07REDTQN753J,0.559618,0.405783,-0.162025,0.92575,-0.134066,1.3441
3EJJQNKU9R5V2K7NRA2CY9JZ1GCRH0,0.266903,1.21294,0.179938,0.447914,0.034501,1.76275
37ZHEEHM6WM6QTG93BF4PYRPIXP73W,0.543468,0.200891,0.156709,1.48154,-0.140723,2.26443
3OHYZ19UGC5DVK7TTCBGNSRQE1LAOP,0.660495,0.701652,0.0753992,0.0688071,-0.211353,1.15423
3CTOC39K37QHB7IY6W7R558EDWNJ7Z,0.170245,0.228598,0.32656,0.61864,0.673806,1.12185
33SA9F9TRXUOQ6X7034C05U319AWER,0.302795,0.248019,0.0904887,1.07437,-1.60884,1.16167
3M68NM076H7F5VN6VRB81IU9S2VR6Y,0.248636,0.915286,-0.0775669,0.204589,-0.320129,1.65266
3G5F9DBFOPXNVRO40U7MZ682MM6VHE,0.253855,1.02662,-0.123706,0.890872,0.28044,1.54771
3YGXWBAF70HXK6U9U6SYFPB9X9J4CG,0.433878,0.709914,0.0743058,1.33515,0.140171,1.82684
3IXQG4FA2TYF778FX1SULDG71Y39BG,0.0203204,0.0580572,-0.0521538,0.755588,0.360214,0.333499
3E337GFOL98WNQKKEX3D4P2OLDKNG7,0.555809,0.610777,-0.0987982,0.974326,-2.31589,0.687682
3UWN2HHPUY5ZDVTB9XXUT3LRASPSNG,0.0121908,-0.1075,-0.000981334,0.268495,-0.524759,0.348015
3U0SRXB7CD5NCGTYU8XP3TGVNTTRNJ,0.622749,0.922862,-0.0409727,0.151098,0.318137,1.67879
3IKZ72A5B4GQ9QOP3DXVM42CK4CNFC,0.412333,0.48013,0.397099,0.858717,-0.164135,2.24124
3RXCAC0YIRPBKJXG8VEUMSCTX5T8GN,0.552432,0.650275,0.201511,0.983644,-0.140534,2.12856
39N5ACM9HENHB19PG6AVGXLWIJR9P8,0.493631,0.356414,-0.0169249,1.33748,-0.30679,1.78164
3S0TNUHWKTI88ZNP65DMG79WKUD8DB,0.570343,0.434309,0.659239,0.364526,0.0775644,1.80733
39N5ACM9HENHB19PG6AVGXLWHLL9P5,0.180852,0.0621712,0.159596,0.151124,-0.195298,0.524581
32M8BPYGATM49P9THHQLZH670IBGIE,0.0131932,-0.100275,-0.0254102,0.580296,1.00403,0.328579
3RGU30DZTA80WAPLA29GON548LFMJA,0.15872,0.136926,0.0153677,-0.074337,-0.227147,0.509924
3483FV8BEEJY1B6LG1W70AM1H8A26M,0.546691,0.205963,0.706938,0.203121,-0.925446,2.57085
